Nitrogen (mg/kg),Fosfor (mg/kg),Kalium (mg/kg),pH,Kelembapan (%),Suhu (°C),EC (dS/m),Salinitas (ppt),TDS (ppm),Kondisi Tanah,Rekomendasi Tindakan
332,276,1800,5.86,54.78,29.51,0.66,198.63,1517.97,Baik,"tambahkan pupuk banyak, cukup air"
892,234,2650,6.49,68.99,33.72,1.16,235.46,1775.92,Baik,"tambahkan pupuk sedang, cukup air"
441,264,3409,6.18,56.1,23.13,0.67,240.33,2404.18,Baik,"tambahkan pupuk banyak, cukup air"
364,265,3199,6.45,53.38,29.98,0.42,184.48,1699.15,Baik,"tambahkan pupuk banyak, cukup air"
637,258,3732,5.64,59.21,21.18,0.87,320.35,2765.93,Baik,"tambahkan pupuk sedang, cukup air"
385,275,2081,5.88,56.14,29.06,0.54,205.7,3769.53,Baik,"tambahkan pupuk banyak, cukup air"
287,126,3327,6.05,50.7,22.46,1.12,137.61,3244.27,Baik,"tambahkan pupuk banyak, cukup air"
353,253,1534,5.58,56.46,31.04,0.48,191.35,2999.28,Baik,"tambahkan pupuk banyak, cukup air"
861,193,1727,5.5,60.88,24.52,1.07,240.06,2748.16,Baik,"tambahkan pupuk sedang, cukup air"
820,192,3546,6.17,61.03,26.95,0.4,214.13,2463.84,Baik,"tambahkan pupuk sedang, cukup air"
858,369,2569,6.14,57.13,28.99,1.37,185.78,1559.69,Baik,"tambahkan pupuk sedang, cukup air"
653,373,2289,5.91,58.95,22.57,1.53,155.71,3684.13,Baik,"tambahkan pupuk sedang, cukup air"
655,378,2874,5.99,69.31,31.12,0.31,300.84,1745.61,Baik,"tambahkan pupuk sedang, cukup air"
337,200,2438,5.92,57.55,24.54,0.99,338.19,1273.93,Baik,"tambahkan pupuk banyak, cukup air"
487,261,1204,5.52,55.16,29.94,0.23,197.53,3250.05,Baik,"tambahkan pupuk banyak, cukup air"
460,157,1612,5.84,54.87,22.37,1.24,208.52,1526.85,Baik,"tambahkan pupuk banyak, cukup air"
345,240,1691,5.68,59.16,30.32,0.6,258.41,2115.69,Baik,"tambahkan pupuk banyak, cukup air"
743,282,1876,5.6,65.19,21.92,1.1,279.59,1084.85,Baik,"tambahkan pupuk sedang, cukup air"
706,356,2598,6.46,54.12,26.38,1.08,210.72,1411.2,Baik,"tambahkan pupuk sedang, cukup air"
332,303,1231,6.1,64.19,23.71,1.86,318.94,1519.61,Baik,"tambahkan pupuk banyak, cukup air"
386,134,2214,6.23,50.42,31.23,1.14,246.16,1163.23,Baik,"tambahkan pupuk banyak, cukup air"
571,183,3687,5.82,58.38,23.93,1.21,223.03,2969.97,Baik,"tambahkan pupuk sedang, cukup air"
396,333,3437,5.89,65.52,33.23,0.86,264.45,3511.02,Baik,"tambahkan pupuk banyak, cukup air"
394,217,1544,5.74,56.77,33.38,1.9,329.04,2119.95,Baik,"tambahkan pupuk banyak, cukup air"
813,157,2220,5.6,61.27,22.95,1.58,295.65,3623.73,Baik,"tambahkan pupuk sedang, cukup air"
631,282,2309,5.68,54.1,29.21,0.64,136.44,1640.04,Baik,"tambahkan pupuk sedang, cukup air"
510,224,3140,6.3,64.84,21.32,1.7,198.12,1976.17,Baik,"tambahkan pupuk sedang, cukup air"
737,151,3445,6.18,51.05,25.87,0.92,227.28,1452.21,Baik,"tambahkan pupuk sedang, cukup air"
625,347,1952,6.05,67.05,30.7,1.67,194.36,2861.68,Baik,"tambahkan pupuk sedang, cukup air"
368,344,1793,5.98,53.96,29.89,1.66,275.74,2259.61,Baik,"tambahkan pupuk banyak, cukup air"
428,279,1691,6.42,67.49,29.37,0.46,302.34,2839.85,Baik,"tambahkan pupuk banyak, cukup air"
634,188,2403,5.57,57.05,24.24,1.43,282.31,3285.02,Baik,"tambahkan pupuk sedang, cukup air"
873,251,2945,5.78,64.45,25.67,0.65,336.75,2637.11,Baik,"tambahkan pupuk sedang, cukup air"
266,185,1741,5.85,56.38,21.54,0.67,185.51,2882.89,Baik,"tambahkan pupuk banyak, cukup air"
693,311,3593,6.28,68.12,30.79,0.66,312.62,3805.75,Baik,"tambahkan pupuk sedang, cukup air"
703,384,1156,6.49,52.53,27.56,1.48,289.76,1897.19,Baik,"tambahkan pupuk sedang, cukup air"
608,164,3160,5.74,53.57,30.63,0.54,204.42,2077.49,Baik,"tambahkan pupuk sedang, cukup air"
255,245,1415,6.37,59.86,23.73,0.1,282.9,3153.11,Baik,"tambahkan pupuk banyak, cukup air"
271,120,2604,6.33,51.64,24.87,1.46,149.96,2833.92,Baik,"tambahkan pupuk banyak, cukup air"
463,142,1432,5.72,53.92,25.01,0.43,294.55,1535.6,Baik,"tambahkan pupuk banyak, cukup air"
598,275,2223,5.9,68.88,20.39,0.3,240.32,2128.44,Baik,"tambahkan pupuk sedang, cukup air"
796,264,2162,5.91,69.53,25.12,0.55,189.67,2403.51,Baik,"tambahkan pupuk sedang, cukup air"
671,379,1948,6.48,57.53,32.05,0.82,266.37,2258.17,Baik,"tambahkan pupuk sedang, cukup air"
516,345,1214,5.68,68.47,33.46,1.0,263.38,1534.82,Baik,"tambahkan pupuk sedang, cukup air"
260,315,3052,6.3,60.9,27.77,0.18,172.2,3773.29,Baik,"tambahkan pupuk banyak, cukup air"
459,165,3225,5.83,55.39,26.83,1.94,134.41,3286.96,Baik,"tambahkan pupuk banyak, cukup air"
510,182,1749,6.23,64.05,20.46,1.46,219.49,2444.07,Baik,"tambahkan pupuk sedang, cukup air"
842,173,3441,5.92,63.18,33.19,0.71,248.17,3040.18,Baik,"tambahkan pupuk sedang, cukup air"
517,374,1307,6.08,69.78,20.2,0.71,312.96,3691.85,Baik,"tambahkan pupuk sedang, cukup air"
714,245,2321,6.33,55.3,34.17,0.95,323.85,1408.52,Baik,"tambahkan pupuk sedang, cukup air"
686,330,1973,6.3,63.44,27.34,1.29,239.58,1751.12,Baik,"tambahkan pupuk sedang, cukup air"
892,287,1501,6.37,51.04,25.13,0.38,287.05,2628.1,Baik,"tambahkan pupuk sedang, cukup air"
749,373,2950,5.56,52.27,33.86,0.46,220.69,3397.03,Baik,"tambahkan pupuk sedang, cukup air"
780,217,3233,6.19,50.08,20.37,1.73,285.42,1108.76,Baik,"tambahkan pupuk sedang, cukup air"
425,324,1821,5.64,69.99,28.72,0.59,171.21,3952.05,Baik,"tambahkan pupuk banyak, cukup air"
282,231,2911,5.92,66.05,28.23,0.82,206.29,2364.72,Baik,"tambahkan pupuk banyak, cukup air"
745,379,2496,6.05,65.73,23.29,1.76,261.82,2077.69,Baik,"tambahkan pupuk sedang, cukup air"
250,265,2564,5.9,60.19,26.43,1.36,131.83,1878.17,Baik,"tambahkan pupuk banyak, cukup air"
405,151,1498,6.02,56.0,29.78,0.75,280.44,1523.07,Baik,"tambahkan pupuk banyak, cukup air"
453,323,1775,6.5,53.03,30.91,1.4,304.3,3374.72,Baik,"tambahkan pupuk banyak, cukup air"
391,221,3558,5.64,55.69,20.01,0.14,212.22,3866.24,Baik,"tambahkan pupuk banyak, cukup air"
710,273,1204,6.18,57.52,34.05,1.5,222.52,2240.93,Baik,"tambahkan pupuk sedang, cukup air"
279,236,2403,5.9,65.13,22.47,1.03,307.62,3857.26,Baik,"tambahkan pupuk banyak, cukup air"
606,170,1991,5.63,60.79,23.5,1.65,291.66,3471.39,Baik,"tambahkan pupuk sedang, cukup air"
751,127,1174,5.66,51.55,23.95,1.91,188.8,2443.15,Baik,"tambahkan pupuk sedang, cukup air"
332,260,3556,6.45,50.36,20.57,1.86,196.36,3022.08,Baik,"tambahkan pupuk banyak, cukup air"
270,251,2196,6.38,52.05,21.85,1.83,271.24,2304.95,Baik,"tambahkan pupuk banyak, cukup air"
513,118,3349,6.41,58.21,34.8,1.07,246.83,2676.17,Baik,"tambahkan pupuk sedang, cukup air"
582,259,3391,6.49,68.66,24.73,0.78,162.23,1174.14,Baik,"tambahkan pupuk sedang, cukup air"
730,145,2648,5.71,62.75,21.73,0.98,193.4,3088.79,Baik,"tambahkan pupuk sedang, cukup air"
535,352,3218,5.86,66.04,21.6,1.41,317.9,1158.47,Baik,"tambahkan pupuk sedang, cukup air"
414,230,1500,6.17,59.33,30.79,1.78,273.2,3451.25,Baik,"tambahkan pupuk banyak, cukup air"
840,219,1282,5.98,57.23,32.82,0.49,336.04,3474.84,Baik,"tambahkan pupuk sedang, cukup air"
332,233,2266,5.92,52.17,23.85,1.84,289.84,1711.23,Baik,"tambahkan pupuk banyak, cukup air"
349,120,2635,5.86,67.52,20.31,1.65,326.76,1970.99,Baik,"tambahkan pupuk banyak, cukup air"
424,363,2591,6.09,65.66,23.35,1.96,173.62,2443.93,Baik,"tambahkan pupuk banyak, cukup air"
486,236,2202,6.08,53.36,20.85,1.77,290.78,2789.99,Baik,"tambahkan pupuk banyak, cukup air"
394,264,2155,5.66,60.25,21.55,0.63,132.27,1862.06,Baik,"tambahkan pupuk banyak, cukup air"
489,199,2730,5.97,59.75,26.47,0.3,269.53,2777.46,Baik,"tambahkan pupuk banyak, cukup air"
556,346,3172,6.05,62.5,23.45,0.31,227.02,1893.36,Baik,"tambahkan pupuk sedang, cukup air"
361,276,2521,6.07,68.92,27.74,0.65,201.17,1166.47,Baik,"tambahkan pupuk banyak, cukup air"
251,387,1200,5.71,61.6,23.8,1.27,309.97,1007.58,Baik,"tambahkan pupuk banyak, cukup air"
799,153,3478,6.24,60.8,34.11,1.63,308.25,1303.45,Baik,"tambahkan pupuk sedang, cukup air"
803,341,2075,5.53,51.01,33.59,1.81,132.71,3376.75,Baik,"tambahkan pupuk sedang, cukup air"
556,257,1933,5.85,51.26,28.5,1.29,256.61,3884.29,Baik,"tambahkan pupuk sedang, cukup air"
859,266,3475,6.28,53.75,25.32,0.11,205.61,2280.9,Baik,"tambahkan pupuk sedang, cukup air"
521,229,3382,6.06,50.65,25.72,0.45,215.7,2538.05,Baik,"tambahkan pupuk sedang, cukup air"
872,352,1192,5.76,64.87,26.18,0.29,303.56,1440.54,Baik,"tambahkan pupuk sedang, cukup air"
388,181,2077,6.19,64.47,30.91,0.79,193.38,2653.09,Baik,"tambahkan pupuk banyak, cukup air"
723,373,2469,6.07,52.72,26.77,1.05,326.98,1433.96,Baik,"tambahkan pupuk sedang, cukup air"
619,364,2316,6.3,66.72,32.85,0.18,165.9,2833.64,Baik,"tambahkan pupuk sedang, cukup air"
337,295,1462,6.24,53.1,34.16,0.76,267.83,3799.78,Baik,"tambahkan pupuk banyak, cukup air"
626,305,2683,6.11,56.02,25.04,0.44,269.81,1587.1,Baik,"tambahkan pupuk sedang, cukup air"
479,269,1469,5.99,54.98,28.41,1.33,181.21,3293.69,Baik,"tambahkan pupuk banyak, cukup air"
409,311,2761,5.63,57.45,21.43,0.98,196.52,1070.51,Baik,"tambahkan pupuk banyak, cukup air"
272,377,2459,5.76,55.09,23.01,1.04,304.14,2126.49,Baik,"tambahkan pupuk banyak, cukup air"
710,258,2658,5.92,59.78,26.2,0.91,288.74,1332.25,Baik,"tambahkan pupuk sedang, cukup air"
771,216,2805,6.1,58.15,23.09,1.92,197.44,2057.43,Baik,"tambahkan pupuk sedang, cukup air"
641,359,2493,6.01,69.73,33.15,0.51,240.66,1520.61,Baik,"tambahkan pupuk sedang, cukup air"
758,127,2705,5.79,51.12,22.37,1.08,141.01,2119.91,Baik,"tambahkan pupuk sedang, cukup air"
739,354,1406,5.51,52.84,26.83,1.5,172.05,2252.57,Baik,"tambahkan pupuk sedang, cukup air"
269,164,2319,6.0,51.06,29.09,1.16,230.51,1901.77,Baik,"tambahkan pupuk banyak, cukup air"
253,157,3498,5.79,62.52,30.38,1.87,146.14,2969.87,Baik,"tambahkan pupuk banyak, cukup air"
554,281,3768,6.23,51.09,25.75,0.82,305.94,3756.56,Baik,"tambahkan pupuk sedang, cukup air"
745,197,3683,5.52,66.73,33.04,0.98,279.5,2201.79,Baik,"tambahkan pupuk sedang, cukup air"
633,273,3566,6.08,60.24,28.52,0.27,327.11,1577.03,Baik,"tambahkan pupuk sedang, cukup air"
887,331,3125,6.44,60.54,26.59,1.26,274.32,1812.17,Baik,"tambahkan pupuk sedang, cukup air"
704,273,2001,5.67,61.23,21.01,0.65,326.42,3562.0,Baik,"tambahkan pupuk sedang, cukup air"
376,249,2146,5.97,53.42,26.97,0.4,245.0,2714.92,Baik,"tambahkan pupuk banyak, cukup air"
325,182,3043,5.59,53.95,32.31,1.13,254.65,2365.03,Baik,"tambahkan pupuk banyak, cukup air"
587,122,1734,6.13,56.38,29.22,1.11,334.14,1448.91,Baik,"tambahkan pupuk sedang, cukup air"
284,129,2931,6.05,61.87,32.48,0.24,263.49,2349.18,Baik,"tambahkan pupuk banyak, cukup air"
808,188,1822,5.91,54.2,27.41,1.43,134.5,1835.48,Baik,"tambahkan pupuk sedang, cukup air"
423,278,1625,6.02,52.33,21.78,1.29,280.72,3829.49,Baik,"tambahkan pupuk banyak, cukup air"
358,181,1621,6.4,69.4,20.2,0.46,319.05,3652.21,Baik,"tambahkan pupuk banyak, cukup air"
383,245,3688,5.7,50.44,24.55,0.99,295.87,1251.71,Baik,"tambahkan pupuk banyak, cukup air"
547,321,1521,5.52,66.05,30.47,1.47,251.19,2549.96,Baik,"tambahkan pupuk sedang, cukup air"
803,391,1426,6.36,65.76,31.85,1.11,269.65,1675.18,Baik,"tambahkan pupuk sedang, cukup air"
575,371,2524,6.08,55.94,24.44,0.85,336.93,2232.33,Baik,"tambahkan pupuk sedang, cukup air"
538,381,2849,6.39,52.71,27.43,0.71,147.13,3630.54,Baik,"tambahkan pupuk sedang, cukup air"
287,140,3728,6.1,52.91,26.32,1.26,268.79,2582.54,Baik,"tambahkan pupuk banyak, cukup air"
677,368,1780,6.31,63.95,26.16,1.88,187.8,2002.65,Baik,"tambahkan pupuk sedang, cukup air"
846,279,3005,5.93,62.86,23.47,1.38,263.06,1623.67,Baik,"tambahkan pupuk sedang, cukup air"
497,210,1699,6.25,65.65,22.05,0.24,256.21,3400.97,Baik,"tambahkan pupuk banyak, cukup air"
286,385,1576,6.41,68.75,22.95,0.98,160.38,2873.55,Baik,"tambahkan pupuk banyak, cukup air"
805,225,1494,6.07,63.84,20.83,1.79,171.62,2404.2,Baik,"tambahkan pupuk sedang, cukup air"
853,353,3302,5.68,53.12,22.97,0.28,259.16,1652.45,Baik,"tambahkan pupuk sedang, cukup air"
238,140,2343,5.77,54.87,20.14,1.98,155.06,2002.74,Baik,"tambahkan pupuk banyak, cukup air"
336,256,1873,5.7,66.84,29.41,1.9,183.95,3879.53,Baik,"tambahkan pupuk banyak, cukup air"
429,232,3173,5.75,54.19,24.75,0.25,304.24,2560.27,Baik,"tambahkan pupuk banyak, cukup air"
583,140,1811,5.81,51.45,34.6,1.87,197.02,2202.1,Baik,"tambahkan pupuk sedang, cukup air"
280,194,3599,6.06,64.07,22.91,0.79,230.98,2564.27,Baik,"tambahkan pupuk banyak, cukup air"
889,183,2774,6.09,58.05,25.19,1.7,326.58,3336.97,Baik,"tambahkan pupuk sedang, cukup air"
502,288,2704,5.93,68.4,25.37,0.89,175.93,2020.33,Baik,"tambahkan pupuk sedang, cukup air"
603,127,2490,6.12,63.01,20.13,0.94,210.21,1536.12,Baik,"tambahkan pupuk sedang, cukup air"
869,243,3271,5.58,51.81,32.59,1.31,255.96,2754.81,Baik,"tambahkan pupuk sedang, cukup air"
339,211,1194,5.59,68.96,20.48,1.57,287.38,2995.61,Baik,"tambahkan pupuk banyak, cukup air"
892,207,3691,5.67,55.17,34.1,0.16,318.25,3138.15,Baik,"tambahkan pupuk sedang, cukup air"
890,256,2294,6.02,56.74,33.38,1.23,321.16,3645.96,Baik,"tambahkan pupuk sedang, cukup air"
353,146,2360,5.71,58.05,28.03,0.45,291.87,2113.52,Baik,"tambahkan pupuk banyak, cukup air"
837,135,1387,5.78,51.02,28.15,0.76,176.18,1226.06,Baik,"tambahkan pupuk sedang, cukup air"
291,261,1266,5.9,59.93,29.81,0.76,133.23,3875.05,Baik,"tambahkan pupuk banyak, cukup air"
579,275,2006,6.31,52.47,25.81,0.99,208.98,2305.04,Baik,"tambahkan pupuk sedang, cukup air"
707,158,1953,5.51,58.02,29.71,0.73,157.87,2869.77,Baik,"tambahkan pupuk sedang, cukup air"
350,369,3267,6.15,57.01,20.67,0.3,277.89,2998.92,Baik,"tambahkan pupuk banyak, cukup air"
360,245,1954,6.17,65.46,20.81,0.38,267.5,2639.54,Baik,"tambahkan pupuk banyak, cukup air"
626,175,2105,6.3,66.06,26.86,0.16,137.28,1615.77,Baik,"tambahkan pupuk sedang, cukup air"
874,266,2909,6.43,53.07,28.24,0.99,304.52,3265.43,Baik,"tambahkan pupuk sedang, cukup air"
291,120,1252,5.52,57.33,33.32,1.91,180.48,3411.26,Baik,"tambahkan pupuk banyak, cukup air"
867,381,2769,5.65,57.47,21.57,0.32,219.2,2658.93,Baik,"tambahkan pupuk sedang, cukup air"
746,245,2496,6.39,53.03,32.34,1.9,268.93,2465.68,Baik,"tambahkan pupuk sedang, cukup air"
329,382,2139,5.96,65.97,23.15,1.49,218.61,1341.81,Baik,"tambahkan pupuk banyak, cukup air"
871,293,2056,6.06,64.14,25.91,1.31,221.11,1251.85,Baik,"tambahkan pupuk sedang, cukup air"
351,368,1776,6.16,53.81,24.75,1.33,141.85,2018.69,Baik,"tambahkan pupuk banyak, cukup air"
793,171,3164,6.18,57.33,26.0,1.67,212.7,1932.54,Baik,"tambahkan pupuk sedang, cukup air"
834,198,3200,6.43,52.12,22.26,0.3,289.38,3860.97,Baik,"tambahkan pupuk sedang, cukup air"
721,214,1373,6.5,62.56,27.55,1.06,321.1,3350.87,Baik,"tambahkan pupuk sedang, cukup air"
470,264,3634,6.22,52.43,32.02,1.42,215.25,2979.77,Baik,"tambahkan pupuk banyak, cukup air"
505,271,3482,5.79,69.72,26.62,1.21,217.38,2552.94,Baik,"tambahkan pupuk sedang, cukup air"
422,305,2751,6.38,65.61,27.36,1.68,276.25,1502.1,Baik,"tambahkan pupuk banyak, cukup air"
680,378,1934,5.55,57.8,32.73,0.24,326.92,3935.37,Baik,"tambahkan pupuk sedang, cukup air"
814,195,2095,5.73,61.57,30.59,1.41,184.35,2125.12,Baik,"tambahkan pupuk sedang, cukup air"
480,367,1200,6.4,68.23,27.36,1.11,220.87,1320.78,Baik,"tambahkan pupuk banyak, cukup air"
309,212,2284,5.76,61.08,23.87,0.82,295.95,2481.4,Baik,"tambahkan pupuk banyak, cukup air"
387,375,1327,5.72,53.49,33.27,0.75,256.65,3621.99,Baik,"tambahkan pupuk banyak, cukup air"
889,375,3319,5.64,57.57,28.66,1.28,151.33,3661.87,Baik,"tambahkan pupuk sedang, cukup air"
668,218,3462,6.36,66.86,23.32,1.79,260.45,1032.9,Baik,"tambahkan pupuk sedang, cukup air"
319,155,3491,6.0,62.88,24.04,1.04,167.4,3658.89,Baik,"tambahkan pupuk banyak, cukup air"
518,388,1877,6.17,63.01,32.05,1.67,235.66,1814.45,Baik,"tambahkan pupuk sedang, cukup air"
453,216,2820,5.74,67.34,20.66,0.86,239.64,1116.92,Baik,"tambahkan pupuk banyak, cukup air"
302,336,1408,6.26,67.88,34.88,0.29,312.88,3543.37,Baik,"tambahkan pupuk banyak, cukup air"
280,239,1192,6.26,68.4,21.96,0.22,225.59,3591.6,Baik,"tambahkan pupuk banyak, cukup air"
327,346,3045,5.81,51.9,31.94,0.2,186.96,2788.69,Baik,"tambahkan pupuk banyak, cukup air"
686,293,3231,5.91,60.88,25.92,0.82,176.73,2723.3,Baik,"tambahkan pupuk sedang, cukup air"
437,178,3332,5.71,64.81,27.38,0.74,312.47,3439.36,Baik,"tambahkan pupuk banyak, cukup air"
451,231,2904,6.48,65.14,33.21,1.46,164.08,3358.93,Baik,"tambahkan pupuk banyak, cukup air"
707,306,2466,6.15,62.13,26.19,1.51,217.86,3670.32,Baik,"tambahkan pupuk sedang, cukup air"
665,177,2969,6.43,53.34,28.06,0.2,167.49,2658.24,Baik,"tambahkan pupuk sedang, cukup air"
574,371,3723,5.8,65.95,20.74,0.52,291.17,3902.94,Baik,"tambahkan pupuk sedang, cukup air"
784,122,1698,6.28,64.4,20.04,0.62,228.09,3988.44,Baik,"tambahkan pupuk sedang, cukup air"
845,270,2703,6.27,51.72,23.67,1.14,202.09,1349.63,Baik,"tambahkan pupuk sedang, cukup air"
522,207,1753,6.19,59.28,30.21,0.37,204.19,3548.63,Baik,"tambahkan pupuk sedang, cukup air"
487,129,3157,6.47,53.48,21.82,0.35,307.82,2499.47,Baik,"tambahkan pupuk banyak, cukup air"
590,344,2332,5.89,56.75,21.71,1.89,244.85,2162.7,Baik,"tambahkan pupuk sedang, cukup air"
256,201,1445,5.63,50.36,26.16,1.63,279.47,2839.22,Baik,"tambahkan pupuk banyak, cukup air"
755,248,3276,6.17,58.01,29.72,0.44,317.28,1167.9,Baik,"tambahkan pupuk sedang, cukup air"
333,298,2368,6.23,61.0,30.68,0.87,318.27,2519.38,Baik,"tambahkan pupuk banyak, cukup air"
413,177,1268,6.08,62.39,22.68,0.78,197.32,3612.67,Baik,"tambahkan pupuk banyak, cukup air"
456,334,2161,5.71,63.27,21.19,1.6,328.97,1640.38,Baik,"tambahkan pupuk banyak, cukup air"
892,361,3288,6.0,66.73,34.11,1.07,133.25,2279.17,Baik,"tambahkan pupuk sedang, cukup air"
675,345,3726,5.81,54.31,23.91,0.34,207.51,3818.44,Baik,"tambahkan pupuk sedang, cukup air"
841,194,1793,5.93,52.41,32.8,1.5,317.01,2285.69,Baik,"tambahkan pupuk sedang, cukup air"
558,264,3604,6.15,67.03,32.95,0.85,185.95,2075.1,Baik,"tambahkan pupuk sedang, cukup air"
749,253,3440,6.25,53.13,31.59,0.6,185.62,2321.61,Baik,"tambahkan pupuk sedang, cukup air"
249,180,1218,5.73,69.5,22.53,0.81,191.85,2558.36,Baik,"tambahkan pupuk banyak, cukup air"
569,128,3644,5.91,66.85,32.33,1.05,257.2,2895.97,Baik,"tambahkan pupuk sedang, cukup air"
491,328,3255,5.77,60.02,31.54,0.75,220.49,3402.08,Baik,"tambahkan pupuk banyak, cukup air"
730,357,3650,5.7,69.63,28.95,0.56,281.34,2356.31,Baik,"tambahkan pupuk sedang, cukup air"
393,328,3593,6.28,51.95,25.06,0.86,316.83,3452.44,Baik,"tambahkan pupuk banyak, cukup air"
708,296,3636,6.41,56.06,23.94,0.14,270.26,2601.16,Baik,"tambahkan pupuk sedang, cukup air"
613,288,2440,5.87,62.76,21.83,1.57,171.14,2015.44,Baik,"tambahkan pupuk sedang, cukup air"
778,275,2832,6.25,57.0,27.65,0.42,324.8,2973.85,Baik,"tambahkan pupuk sedang, cukup air"
660,279,1626,6.4,68.57,28.78,0.18,183.81,3153.17,Baik,"tambahkan pupuk sedang, cukup air"
846,303,2779,6.35,51.31,25.39,1.34,159.63,2674.15,Baik,"tambahkan pupuk sedang, cukup air"
501,306,3074,5.68,60.99,27.13,1.57,146.98,1169.84,Baik,"tambahkan pupuk sedang, cukup air"
810,371,2200,6.46,61.82,25.45,1.65,246.87,1509.65,Baik,"tambahkan pupuk sedang, cukup air"
650,298,2556,5.88,63.05,29.62,1.04,152.0,1855.89,Baik,"tambahkan pupuk sedang, cukup air"
401,232,1728,5.84,55.11,33.52,0.49,157.28,1847.88,Baik,"tambahkan pupuk banyak, cukup air"
276,311,1581,5.56,57.29,22.46,1.5,191.31,3020.26,Baik,"tambahkan pupuk banyak, cukup air"
789,149,1616,5.99,66.87,25.72,1.43,187.43,1055.05,Baik,"tambahkan pupuk sedang, cukup air"
518,167,1777,5.61,53.9,22.11,0.57,255.49,3267.05,Baik,"tambahkan pupuk sedang, cukup air"
630,227,2761,5.75,66.54,29.37,1.82,300.33,1796.03,Baik,"tambahkan pupuk sedang, cukup air"
245,367,1793,5.82,61.25,30.93,0.3,288.64,1930.07,Baik,"tambahkan pupuk banyak, cukup air"
840,197,1889,6.31,65.24,33.98,1.97,183.38,2583.73,Baik,"tambahkan pupuk sedang, cukup air"
535,347,1420,6.38,64.27,24.18,1.73,179.76,1647.78,Baik,"tambahkan pupuk sedang, cukup air"
486,342,1852,5.8,54.15,34.25,1.41,331.78,3653.41,Baik,"tambahkan pupuk banyak, cukup air"
732,348,1769,6.36,61.38,20.95,1.88,129.74,1256.11,Baik,"tambahkan pupuk sedang, cukup air"
268,336,3414,6.36,67.35,29.05,1.47,313.62,2333.15,Baik,"tambahkan pupuk banyak, cukup air"
323,157,3595,6.26,58.64,20.86,0.46,170.14,3548.27,Baik,"tambahkan pupuk banyak, cukup air"
838,136,1630,5.65,69.33,33.41,0.94,327.88,2847.53,Baik,"tambahkan pupuk sedang, cukup air"
835,157,1765,6.19,59.04,27.95,0.24,200.23,1876.99,Baik,"tambahkan pupuk sedang, cukup air"
651,228,2805,6.45,52.86,30.04,0.84,220.91,2262.28,Baik,"tambahkan pupuk sedang, cukup air"
348,220,3162,6.18,57.79,32.47,1.51,277.2,3120.08,Baik,"tambahkan pupuk banyak, cukup air"
850,307,1246,5.83,69.03,22.25,0.83,252.0,3919.78,Baik,"tambahkan pupuk sedang, cukup air"
429,132,1805,6.0,56.39,20.58,0.73,195.09,3679.42,Baik,"tambahkan pupuk banyak, cukup air"
734,235,2868,6.15,67.36,33.18,1.23,244.86,2027.3,Baik,"tambahkan pupuk sedang, cukup air"
859,244,2389,6.01,67.63,24.72,1.76,282.18,3994.59,Baik,"tambahkan pupuk sedang, cukup air"
726,245,3385,5.62,57.0,21.93,0.19,136.93,1010.51,Baik,"tambahkan pupuk sedang, cukup air"
308,175,3426,5.81,51.67,27.03,0.83,130.36,1082.89,Baik,"tambahkan pupuk banyak, cukup air"
646,163,1278,6.3,64.49,28.97,0.4,224.65,3471.52,Baik,"tambahkan pupuk sedang, cukup air"
609,144,3297,6.36,56.23,20.46,1.42,155.82,1598.39,Baik,"tambahkan pupuk sedang, cukup air"
653,212,1543,5.64,65.66,24.12,0.3,268.18,1182.31,Baik,"tambahkan pupuk sedang, cukup air"
510,125,2819,6.45,58.85,20.49,1.36,173.17,1711.44,Baik,"tambahkan pupuk sedang, cukup air"
627,357,3542,5.83,59.71,26.31,0.64,219.33,2278.3,Baik,"tambahkan pupuk sedang, cukup air"
690,347,2664,6.16,65.56,33.43,0.48,169.71,3191.7,Baik,"tambahkan pupuk sedang, cukup air"
425,392,1268,6.25,57.65,34.74,1.88,243.73,2873.01,Baik,"tambahkan pupuk banyak, cukup air"
332,318,1150,6.31,58.86,29.56,0.14,152.49,1712.86,Baik,"tambahkan pupuk banyak, cukup air"
781,362,3374,6.45,57.52,22.42,0.93,132.88,2509.81,Baik,"tambahkan pupuk sedang, cukup air"
329,379,3509,5.81,57.35,33.59,0.14,138.79,3778.64,Baik,"tambahkan pupuk banyak, cukup air"
423,329,3091,6.36,60.52,27.74,1.02,329.35,3445.02,Baik,"tambahkan pupuk banyak, cukup air"
270,315,3354,5.63,66.18,22.31,1.05,158.02,1969.57,Baik,"tambahkan pupuk banyak, cukup air"
602,194,2133,6.21,57.24,33.83,0.71,277.49,3946.79,Baik,"tambahkan pupuk sedang, cukup air"
758,288,1580,6.24,60.49,31.36,0.35,142.33,3125.86,Baik,"tambahkan pupuk sedang, cukup air"
512,184,3080,6.18,63.41,30.98,0.82,150.82,1187.35,Baik,"tambahkan pupuk sedang, cukup air"
450,202,2077,5.75,55.39,30.64,1.38,235.37,1105.48,Baik,"tambahkan pupuk banyak, cukup air"
506,216,2509,6.37,55.55,23.01,1.59,226.09,1505.22,Baik,"tambahkan pupuk sedang, cukup air"
295,123,2654,5.67,68.67,23.17,1.11,328.78,3183.57,Baik,"tambahkan pupuk banyak, cukup air"
829,315,1272,5.55,64.47,30.32,1.22,327.36,1551.22,Baik,"tambahkan pupuk sedang, cukup air"
